2025-01-25_22:42:10 | Título capturado: Tears of the Kingdom é o nome oficial da sequência de Breath of the Wild
2025-01-25_22:42:11 | Título capturado: Controle Elite 2 Core de Xbox é mais barato, mas tem menos recursos
2025-01-25_22:42:11 | Título capturado: PS5 revisado ficou mais leve; um youtuber nos mostrou os motivos
2025-01-25_22:42:11 | Título capturado: PlayStation 5 finalmente traz resolução 1440p, pastas de jogos e mais novidades
2025-01-25_22:42:11 | Título capturado: Keanu Reeves vai retornar na nova expansão de Cyberpunk 2077
2025-01-25_22:42:12 | Título capturado: Phil Spencer confirma Call of Duty no Game Pass e descarta exclusividade
2025-01-25_22:42:12 | Título capturado: PS Plus de setembro tem NFS Heat no plano Essentials e Deathloop no Extra
2025-01-25_22:42:12 | Título capturado: Como o mercado de games vai reagir à recessão?
2025-01-25_22:42:13 | Título capturado: Console portátil da Logitech vai rodar jogos na nuvem e apps para Android
2025-01-25_22:42:13 | Título capturado: Sony compra estúdio e anuncia divisão PlayStation para jogos mobile
2025-01-25_22:42:13 | Título capturado: Novo modelo do PS5 é mais leve e já está à venda na Austrália
2025-01-25_22:42:14 | Título capturado: Piratas de jogos do Switch acabam de ganhar um inimigo – e não é a Nintendo
2025-01-25_22:42:14 | Título capturado: PS5 fica mais caro em diversos países devido à alta do dólar e inflação
2025-01-25_22:42:15 | Título capturado: DualSense Edge é a versão elite do controle do PlayStation 5
2025-01-25_22:42:15 | Título capturado: Brazilian Street Food Simulator realiza seu sonho de fazer pastel e caldo de cana
2025-01-25_22:42:15 | Título capturado: Microsoft testa suporte a teclado e mouse no Xbox Cloud Gaming
2025-01-25_22:42:16 | Título capturado: Xbox Series X cresce em buscas na OLX; confira ranking de consoles usados
2025-01-25_22:42:16 | Título capturado: Death Stranding leva seu futuro sombrio para o PC com Game Pass
2025-01-25_22:42:16 | Título capturado: Embracer Group compra os direitos para jogos de O Senhor dos Anéis e O Hobbit
2025-01-25_22:42:17 | Título capturado: Launcher do PlayStation no PC pode ser próxima investida da Sony
2025-01-25_22:42:17 | Título capturado: É hora do Kamehameha! Dragon Ball chega hoje a Fortnite
2025-01-25_22:42:17 | Título capturado: Garena é condenada a reativar conta de Free Fire e a pagar R$ 5 mil
2025-01-25_22:42:18 | Título capturado: MultiVersus sai do beta e estreia temporada com passe de batalha em agosto
2025-01-25_22:42:19 | Título capturado: Microsoft acusa Sony de pagar para impedir que jogos entrem no Game Pass
2025-01-25_22:42:19 | Título capturado: Netflix quer dobrar catálogo de jogos, mas pouca gente se importa com eles
2025-01-25_22:42:19 | Título capturado: Microsoft começa a testar plano família para Xbox Game Pass
2025-01-25_22:42:19 | Dados salvos em: JOGOS.json
2025-01-25_22:44:50 | Log iniciado em: 2025-01-25
2025-01-25_22:44:50 | ChromeDriver configurado com sucesso.
2025-01-25_22:44:50 | Acessando URL: https://tecnoblog.net/tema/games-jogos/
2025-01-25_22:45:00 | Acessando página 1. Notícias carregadas até agora: 0
2025-01-25_22:45:01 | Encontrado o menu de navegação de páginas!
2025-01-25_22:45:12 | Acessando página 2. Notícias carregadas até agora: 58
2025-01-25_22:45:13 | Encontrado o menu de navegação de páginas!
2025-01-25_22:45:19 | Acessando página 3. Notícias carregadas até agora: 118
2025-01-25_22:45:21 | Encontrado o menu de navegação de páginas!
2025-01-25_22:45:32 | Acessando página 4. Notícias carregadas até agora: 178
2025-01-25_22:45:33 | Número total de notícias carregadas: 238
2025-01-25_22:45:36 | Total de notícias coletadas antes de salvar: 60
2025-01-25_22:45:36 | Título capturado: PlayStation VR2 chega ao Brasil em fevereiro pelo preço de um PlayStation 5
2025-01-25_22:45:36 | Título capturado: Sony vende 25 milhões de PS5, mas perde assinantes da PS Plus
2025-01-25_22:45:36 | Título capturado: Phil Spencer reconsidera e mantém Call of Duty de maneira vitalícia no PlayStation
2025-01-25_22:45:36 | Título capturado: Mercado Pago é mais uma empresa a levar seu serviço para servidor de GTA RP
2025-01-25_22:45:36 | Título capturado: Acessórios Xbox transformam até o iPad em um console para o Xbox Cloud
2025-01-25_22:45:41 | Título capturado: Como criar roupas no Roblox
2025-01-25_22:45:41 | Título capturado: Como jogar GTA RP no PC
2025-01-25_22:45:41 | Título capturado: Steam muda recomendação de preços e jogos podem ficar mais caros no Brasil
2025-01-25_22:45:41 | Título capturado: Justiça de SP condena Sony a reembolsar gastos de jogador banido da PSN
2025-01-25_22:45:41 | Título capturado: PS5 com chat de voz do Discord deve chegar em breve
2025-01-25_22:45:42 | Título capturado: Garena é condenada em R$ 6 mil por banir jogador brasileiro de Free Fire
2025-01-25_22:45:42 | Título capturado: Microsoft quer abraçar o mercado de jogos mobile com uma loja própria
2025-01-25_22:45:42 | Título capturado: Bungie está caçando cheaters de Destiny 2 após acordo de US$ 13,5 milhões
2025-01-25_22:45:42 | Título capturado: Project Rene pode ser The Sims 5: EA planeja um renascimento da franquia
2025-01-25_22:45:42 | Título capturado: The Sims 4 já está disponível de graça; veja como adquirir
2025-01-25_22:45:42 | Título capturado: Custando mais do que o Xbox Elite, DualSense Edge chegará no início de 2023
2025-01-25_22:45:43 | Título capturado: Jogos vão rodar mais rápido no Windows 10 e 11 com esta atualização da Microsoft
2025-01-25_22:45:43 | Título capturado: Nintendo vai vender jogos físicos para Switch no Brasil
2025-01-25_22:45:43 | Título capturado: Compra da Activision Blizzard pela Microsoft é aprovada no Brasil sem restrições
2025-01-25_22:45:43 | Título capturado: Com morte do Stadia, usuários tentam dar segunda vida ao joystick do serviço
2025-01-25_22:45:43 | Título capturado: A Microsoft precisou criar uma página para desmistificar a compra da Activision Blizzard
2025-01-25_22:45:43 | Título capturado: Ubisoft vai dar uma força para quem comprou seus games no Stadia
2025-01-25_22:45:43 | Título capturado: PlayStation 5 desbloqueado aparece em vídeo com opção para instalar jogos
2025-01-25_22:45:44 | Título capturado: Horizon Zero Dawn pode ganhar um remaster mais cedo do que esperávamos
2025-01-25_22:45:44 | Título capturado: PlayStation pode permitir que outros jogadores te ajudem a passar de fase
2025-01-25_22:45:44 | Título capturado: Google Stadia será encerrado em janeiro de 2023
2025-01-25_22:45:44 | Título capturado: Razer terá console portátil com 5G para você jogar online em qualquer lugar
2025-01-25_22:45:44 | Título capturado: Sony lança novo PS5 com AMD de 6 nm para consumir menos e não avisa ninguém
2025-01-25_22:45:44 | Título capturado: Modelo do PS5 com drive externo de disco deve substituir as versões atuais
2025-01-25_22:45:45 | Título capturado: Você não precisa mais da internet para jogar seus discos no Xbox Series X
2025-01-25_22:45:45 | Título capturado: Diablo IV tem mais de 40 minutos de gameplay vazados
2025-01-25_22:45:45 | Título capturado: Nintendo Switch OLED chega oficialmente ao Brasil no dia 26 de setembro
2025-01-25_22:45:45 | Título capturado: Hacker vaza 90 vídeos de GTA 6 e tenta extorquir Rockstar
2025-01-25_22:45:45 | Título capturado: The Sims 4 vai virar jogo grátis (você só precisa pagar pelos 57 DLCs)
2025-01-25_22:45:46 | Título capturado: Tears of the Kingdom é o nome oficial da sequência de Breath of the Wild
2025-01-25_22:45:46 | Título capturado: Controle Elite 2 Core de Xbox é mais barato, mas tem menos recursos
2025-01-25_22:45:46 | Título capturado: PS5 revisado ficou mais leve; um youtuber nos mostrou os motivos
2025-01-25_22:45:46 | Título capturado: PlayStation 5 finalmente traz resolução 1440p, pastas de jogos e mais novidades
2025-01-25_22:45:46 | Título capturado: Keanu Reeves vai retornar na nova expansão de Cyberpunk 2077
2025-01-25_22:45:46 | Título capturado: Phil Spencer confirma Call of Duty no Game Pass e descarta exclusividade
2025-01-25_22:45:47 | Título capturado: PS Plus de setembro tem NFS Heat no plano Essentials e Deathloop no Extra
2025-01-25_22:45:47 | Título capturado: Como o mercado de games vai reagir à recessão?
2025-01-25_22:45:47 | Título capturado: Console portátil da Logitech vai rodar jogos na nuvem e apps para Android
2025-01-25_22:45:47 | Título capturado: Sony compra estúdio e anuncia divisão PlayStation para jogos mobile
2025-01-25_22:45:47 | Título capturado: Novo modelo do PS5 é mais leve e já está à venda na Austrália
2025-01-25_22:45:48 | Título capturado: Piratas de jogos do Switch acabam de ganhar um inimigo – e não é a Nintendo
2025-01-25_22:45:48 | Título capturado: PS5 fica mais caro em diversos países devido à alta do dólar e inflação
2025-01-25_22:45:48 | Título capturado: DualSense Edge é a versão elite do controle do PlayStation 5
2025-01-25_22:45:48 | Título capturado: Brazilian Street Food Simulator realiza seu sonho de fazer pastel e caldo de cana
2025-01-25_22:45:48 | Título capturado: Microsoft testa suporte a teclado e mouse no Xbox Cloud Gaming
2025-01-25_22:45:48 | Título capturado: Xbox Series X cresce em buscas na OLX; confira ranking de consoles usados
2025-01-25_22:45:49 | Título capturado: Death Stranding leva seu futuro sombrio para o PC com Game Pass
2025-01-25_22:45:49 | Título capturado: Embracer Group compra os direitos para jogos de O Senhor dos Anéis e O Hobbit
2025-01-25_22:45:49 | Título capturado: Launcher do PlayStation no PC pode ser próxima investida da Sony
2025-01-25_22:45:49 | Título capturado: É hora do Kamehameha! Dragon Ball chega hoje a Fortnite
2025-01-25_22:45:49 | Título capturado: Garena é condenada a reativar conta de Free Fire e a pagar R$ 5 mil
2025-01-25_22:45:50 | Título capturado: MultiVersus sai do beta e estreia temporada com passe de batalha em agosto
2025-01-25_22:45:50 | Título capturado: Microsoft acusa Sony de pagar para impedir que jogos entrem no Game Pass
2025-01-25_22:45:50 | Título capturado: Netflix quer dobrar catálogo de jogos, mas pouca gente se importa com eles
2025-01-25_22:45:50 | Título capturado: Microsoft começa a testar plano família para Xbox Game Pass
2025-01-25_22:45:50 | Dados salvos em: JOGOS.json
2025-01-25_22:49:11 | Log iniciado em: 2025-01-25
2025-01-25_22:49:11 | ChromeDriver configurado com sucesso.
2025-01-25_22:49:11 | Acessando URL: https://tecnoblog.net/tema/games-jogos/
2025-01-25_22:49:21 | Acessando página 1. Notícias carregadas até agora: 0
2025-01-25_22:49:34 | Acessando página 2. Notícias carregadas até agora: 58
2025-01-25_22:49:45 | Acessando página 3. Notícias carregadas até agora: 118
2025-01-25_22:49:55 | Acessando página 4. Notícias carregadas até agora: 178
2025-01-25_22:49:57 | Número total de notícias carregadas: 238
2025-01-25_22:50:00 | Total de notícias coletadas antes de salvar: 200
2025-01-25_22:50:00 | Título capturado: Conheça os jogos da PlayStation Plus em janeiro de 2025
2025-01-25_22:50:00 | Título capturado: Lenovo revela o primeiro console portátil com SteamOS
2025-01-25_22:50:00 | Título capturado: Como baixar GTA San Andreas no celular ou PC
2025-01-25_22:50:05 | Título capturado: Doom ganha versão que roda em PDF; lista de ports só cresce
2025-01-25_22:50:05 | Título capturado: Nintendo Switch 2 é oficial: console tem formato maior e Joy-Cons renovados
2025-01-25_22:50:05 | Título capturado: Nintendo Switch 2: vazam supostas imagens da placa mãe do console
2025-01-25_22:50:05 | Título capturado: Alienware anuncia volta do notebook gamer Area-51, com fabricação no Brasil
2025-01-25_22:50:05 | Título capturado: Gamestation Go é um portátil que promete rodar mais de 200 jogos de Atari
2025-01-25_22:50:05 | Título capturado: Como mudar o idioma do LoL
2025-01-25_22:50:06 | Título capturado: Microsoft vai lançar novidades para consoles portáteis em 2025
2025-01-25_22:50:06 | Título capturado: Códigos de GTA 5 | Cheats e macetes para PS4, PS5, Xbox e PC
2025-01-25_22:50:06 | Título capturado: Códigos e cheats de The Sims 4
2025-01-25_22:50:06 | Título capturado: Como resgatar códigos no Free Fire
2025-01-25_22:50:06 | Título capturado: Códigos e cheats de GTA San Andreas [PC, PS2, Xbox 360 e Android]
2025-01-25_22:50:07 | Título capturado: Como ganhar diamantes no Free Fire
2025-01-25_22:50:07 | Título capturado: Como recuperar uma conta do Free Fire
2025-01-25_22:50:07 | Título capturado: Códigos e cheats de GTA 4 [PS3, Xbox 360 e PC]
2025-01-25_22:50:07 | Título capturado: Códigos e cheats de Red Dead Redemption 2 (PS4 e Xbox One)
2025-01-25_22:50:07 | Título capturado: Códigos e cheats de Pokémon Fire Red e Leaf Green
2025-01-25_22:50:07 | Título capturado: Assassin’s Creed: a ordem cronológica da série completa
2025-01-25_22:50:08 | Título capturado: A cronologia de God of War; entenda a ordem dos jogos
2025-01-25_22:50:08 | Título capturado: Cheats e Códigos de GTA Vice City
2025-01-25_22:50:08 | Título capturado: Pura nostalgia: portáteis retrô são o sucesso de 2024; lembre os fatos
2025-01-25_22:50:08 | Título capturado: Black Friday 2024: 7 videogames são vendidos por minuto em loja digital
2025-01-25_22:50:08 | Título capturado: Microsoft testa modo que transforma Edge em assistente de jogos
2025-01-25_22:50:08 | Título capturado: Novo Windows 11 24H2 trava Assassin’s Creed e outros jogos da Ubisoft
2025-01-25_22:50:09 | Título capturado: Zeenix Lite: PC portátil da TecToy finalmente entra em pré-venda
2025-01-25_22:50:09 | Título capturado: Como mudar a região de uma conta do Xbox Game Pass
2025-01-25_22:50:09 | Título capturado: Windows 7 e Windows 8 ficam sem os jogos da Steam em definitivo
2025-01-25_22:50:09 | Título capturado: Nintendo vai à Justiça contra streamer que fez provocações contra a empresa
2025-01-25_22:50:10 | Título capturado: Sony começa a vender PS5 Pro no Brasil; saiba o preço
2025-01-25_22:50:10 | Título capturado: Próximo Nintendo Switch será compatível com jogos da geração atual
2025-01-25_22:50:10 | Título capturado: PS5 Pro é revelado oficialmente com GPU 67% mais poderosa; veja preço
2025-01-25_22:50:10 | Título capturado: Atari 7800+ é anunciado como versão do console clássico que traz HDMI
2025-01-25_22:50:10 | Título capturado: Xbox Game Pass: o que é e como funciona o serviço de assinatura da Microsoft
2025-01-25_22:50:11 | Título capturado: Quem criou o Free Fire? Saiba quem está por trás do jogo
2025-01-25_22:50:11 | Título capturado: TecToy revela linha Zeenix de PCs portáteis para jogos
2025-01-25_22:50:11 | Título capturado: Nintendo Switch dá adeus à integração com X/Twitter
